单词,解释
conpose,组成，创作，使平静
harsh,粗糙，不舒服
care,关心，照顾
defect,缺陷，背叛
account,账户，账目，解释说明
on account of,由于
take into account,把...考虑在内
account for,对...负责
accountancy,会计学
brood,幼雏，子女
brood over,费力苦思
dedicate,献身，致力于
dedication,奉献
confer,商议，授予
concede,承认，让步，给予
confess,坦白，忏悔
access,通道，权利，面见，存取
accession,到达，就任
defy,反抗，藐视，认为无法做到
evacuate,撤离，疏散
conceive,想象，想出，认为，怀孕
circulate,循环，流传
