单词,解释
overthrow,推翻，颠覆
preclude,杜绝，阻止
mutual,相互的，共同的
slender,苗条的，不足的
preliminary,预备的，初步行动，初赛
weigh,权衡，斟酌
weight,重量，负担，重要性
premise,经营场所，前提
interest,兴趣，利益，利息，股权
perceive,察觉，看作
perception,认识，感知
outrage,激怒，暴行
nutrition,营养
