单词,解释
illiterate,文盲的，无知的
discreet,谨慎的，不显眼的
insurgent,起义者，暴动者
illicit,非法的，禁止的
hibernate,冬眠
eccentric,反常的，古怪的
imperialism,帝国主义
imperialist,帝国主义的
compromise,妥协，让步
immunize,使免疫
discrete,离散的
complement,衬托出，相辅相成，补语，配额
guilt,罪行，愧疚
acquaintance,认识，熟悉，熟人
institutional,机构的，习俗化的
impromptu,即兴的
competence,能力，胜任
infringe,违反，侵犯
induction,就职，归纳法，电磁感应
