单词,解释
bloke,家伙，小子
provocative,挑衅的，激怒的，激发性欲的，挑逗的
pirate,海盗，盗版
steer,驾驶，引导
retort,反驳
pine,松鼠，怀念，渴望
comb,梳子，梳理，搜寻
prestige,声望，威望，令人敬仰的
preside,负责，主持
president,总统
perplex,使困惑，迷惑
revive,复苏，复兴，苏醒，重新上演
lobby,大厅，大堂，游说团体，进行游说
dawn,黎明，开端，开始
jar,罐子，令人不快的，移动物体导致震动
propel,推进，激励
prune,修剪，修整，删去，梅干
ladder,梯子，社会阶级，袜子脱线
susceptible,易收影响的，善变的
respective,分别的，各自的
nail,钉子，指甲，抓住并证明有罪
stall,货摊，咨询台，隔间，暂停，拖延
