单词,解释
jigsaw,拼图，谜团
intermediary,中间人，调节人
consistency,连贯性，一致性，粘稠度
consistent,连贯的，一致的
landmine,地雷
hysterical,歇斯底里的，异常兴奋的
interrogate,询问，审问
interwoven,紧密结合
optic,镜片，眼的，视力的
disposition,性情，意愿，布置，分配财产
sensational,极好的，轰动性的，耸人听闻的
peculiarity,特性，怪癖
disguise,伪装，掩盖
parachute,跳伞，降落伞
secular,牧师，世俗的
imperative,紧急的，必要的
sensual,物理享受，肉欲的
patriotism,爱国主义
exquisite,精美的，强烈感受的
