单词,解释
formulate value,阐明价值观
sustain culture,传承文化
supporting materials,论据
verbatim,逐字的
in the course of,在...过程中
coincide,occur at or during the same time
rhetorical,修辞
equivalent,对等
conversion,翻译法，词性转换
division,翻译法，英文副词单独翻译成一句话
stick in a rut,枯燥
stick->stuck,棍棒，插入，粘贴，坚持
subtract,减去
desk-dwelling computer nerd,整天窝在电脑前的宅男
scratch,刮，抓，蹭
ton of fun,cl充满乐趣
sustain,支持，承受，支撑
sustainable,可持续的
give it a shot,试一试
