单词,解释
cap,帽子，瓶盖，形成化学键
intermittent,间歇的
pupil,学生，弟子，未成年人
race,人种，血统，竞赛
predecessor,前辈，前身
hail,冰雹，呼喊
interval,间隔，休息时间
patriotic,爱国的
overtake,追上，赶上，精神上压垮
penetrate,穿透，渗透，洞察，领悟
frame,框架，人体体态，电影画面（帧），制定，表达，作伪证
frame for,纳入考虑范围
notorious,臭名昭著的
iron,铁，熨斗，强硬的
intimidate,恐吓，威胁
intrigue,阴谋，密谋，激起兴趣
shore,海岸，区域，境内
peculiar,古怪的，独特的
pathetic,可怜的，悲惨的，软弱的
flat,平滑的，平坦的
