单词,解释
shield,屏障，盾牌，庇护
scratch,给挠痒，划伤，划痕，从零开始，绞尽脑汁，触及表面，达到标准
referee,裁判员，仲裁人
pardon,原谅
bare,赤裸的，光秃秃的，最基本的，未加装饰的
transit,运输，中转的，过境的
propagate,宣传，传播，繁殖
scrap,碎片，废弃，报废的
scrub,用力擦洗，擦掉
shrewd,精明的，敏锐的
spontaneous,自发的，自然的
stale,不新鲜的，污浊的，令人厌倦的
stern,严厉的，严格的，苛刻的
rectify,修正，校订
