单词,解释
go on,继续
in the face of,面对
go through,经历，浏览
hand down,宣布，传下去
hand in,上交
look into,调查
keep up with,跟上
live through,经过（不愉快的事件或变故）之后仍旧活着
look forward to,展望
cut off,切断，剥夺继承权
look back,回顾
cut back,消减，缩减
cut down,消减，砍倒
look out for,留心，留意
draw up,起草
